frame,time_s,timestamp,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,matches,inliers,pnp_inlier_ratio,new_features,nearby_associations,new_landmarks,initialization_frames,initialization_candidates,initialization_confirmed,initialization_matches,landmarks,keyframe_added,keyframes,tracked
165,5.5,1784291928.7129998,nan,nan,nan,nan,nan,nan,36,0,0.0,378,0,0,0,0,0,0,250,0,1,0
166,5.533333333333333,1784291928.7463331,nan,nan,nan,nan,nan,nan,32,0,0.0,398,0,0,0,0,0,0,250,0,1,0
167,5.566666666666666,1784291928.7796664,nan,nan,nan,nan,nan,nan,32,0,0.0,402,0,0,0,0,0,0,250,0,1,0
168,5.6,1784291928.8129997,nan,nan,nan,nan,nan,nan,30,0,0.0,355,0,0,0,0,0,0,250,0,1,0
169,5.633333333333334,1784291928.8463333,nan,nan,nan,nan,nan,nan,42,0,0.0,360,0,0,0,0,0,0,250,0,1,0
170,5.666666666666667,1784291928.8796666,nan,nan,nan,nan,nan,nan,35,0,0.0,370,0,0,0,0,0,0,250,0,1,0
171,5.7,1784291928.9129999,nan,nan,nan,nan,nan,nan,34,0,0.0,338,0,0,0,0,0,0,250,0,1,0
172,5.733333333333333,1784291928.9463332,nan,nan,nan,nan,nan,nan,36,0,0.0,341,0,0,0,0,0,0,250,0,1,0
173,5.766666666666667,1784291928.9796665,nan,nan,nan,nan,nan,nan,43,5,0.11627906976744186,365,0,0,0,0,0,0,250,0,1,0
174,5.8,1784291929.0129998,nan,nan,nan,nan,nan,nan,59,0,0.0,350,0,0,0,0,0,0,250,0,1,0
175,5.833333333333333,1784291929.046333,nan,nan,nan,nan,nan,nan,45,6,0.13333333333333333,298,0,0,0,0,0,0,250,0,1,0
176,5.866666666666666,1784291929.0796664,nan,nan,nan,nan,nan,nan,55,0,0.0,322,0,0,0,0,0,0,250,0,1,0
177,5.9,1784291929.113,nan,nan,nan,nan,nan,nan,66,0,0.0,304,0,0,0,0,0,0,250,0,1,0
178,5.933333333333334,1784291929.1463332,nan,nan,nan,nan,nan,nan,62,0,0.0,314,0,0,0,0,0,0,250,0,1,0
179,5.966666666666667,1784291929.1796665,nan,nan,nan,nan,nan,nan,59,0,0.0,309,0,0,0,0,0,0,250,0,1,0
180,6.0,1784291929.2129998,nan,nan,nan,nan,nan,nan,51,0,0.0,304,0,0,0,0,0,0,250,0,1,0
181,6.033333333333333,1784291929.2463331,nan,nan,nan,nan,nan,nan,66,0,0.0,263,0,0,0,0,0,0,250,0,1,0
182,6.066666666666666,1784291929.2796664,nan,nan,nan,nan,nan,nan,60,5,0.08333333333333333,263,0,0,0,0,0,0,250,0,1,0
183,6.1,1784291929.3129997,nan,nan,nan,nan,nan,nan,56,0,0.0,252,0,0,0,0,0,0,250,0,1,0
184,6.133333333333334,1784291929.3463333,nan,nan,nan,nan,nan,nan,70,0,0.0,232,0,0,0,0,0,0,250,0,1,0
185,6.166666666666667,1784291929.3796666,nan,nan,nan,nan,nan,nan,71,0,0.0,256,0,0,0,0,0,0,250,0,1,0
186,6.2,1784291929.4129999,nan,nan,nan,nan,nan,nan,71,0,0.0,238,0,0,0,0,0,0,250,0,1,0
187,6.233333333333333,1784291929.4463332,nan,nan,nan,nan,nan,nan,73,0,0.0,217,0,0,0,0,0,0,250,0,1,0
188,6.266666666666667,1784291929.4796665,nan,nan,nan,nan,nan,nan,93,0,0.0,209,0,0,0,0,0,0,250,0,1,0
189,6.3,1784291929.5129998,nan,nan,nan,nan,nan,nan,83,0,0.0,216,0,0,0,0,0,0,250,0,1,0
190,6.333333333333333,1784291929.546333,nan,nan,nan,nan,nan,nan,104,0,0.0,185,0,0,0,0,0,0,250,0,1,0
191,6.366666666666666,1784291929.5796664,nan,nan,nan,nan,nan,nan,108,5,0.046296296296296294,200,0,0,0,0,0,0,250,0,1,0
192,6.4,1784291929.613,nan,nan,nan,nan,nan,nan,103,9,0.08737864077669903,207,0,0,0,0,0,0,250,0,1,0
193,6.433333333333334,1784291929.6463332,nan,nan,nan,nan,nan,nan,103,6,0.05825242718446602,216,0,0,0,0,0,0,250,0,1,0
194,6.466666666666667,1784291929.6796665,nan,nan,nan,nan,nan,nan,124,15,0.12096774193548387,223,0,0,0,0,0,0,250,0,1,0
195,6.5,1784291929.7129998,nan,nan,nan,nan,nan,nan,116,8,0.06896551724137931,215,0,0,0,0,0,0,250,0,1,0
196,6.533333333333333,1784291929.7463331,nan,nan,nan,nan,nan,nan,113,9,0.07964601769911504,226,0,0,0,0,0,0,250,0,1,0
197,6.566666666666666,1784291929.7796664,nan,nan,nan,nan,nan,nan,114,7,0.06140350877192982,219,0,0,0,0,0,0,250,0,1,0
198,6.6,1784291929.8129997,nan,nan,nan,nan,nan,nan,114,8,0.07017543859649122,214,0,0,0,0,0,0,250,0,1,0
199,6.633333333333334,1784291929.8463333,nan,nan,nan,nan,nan,nan,117,7,0.05982905982905983,202,0,0,0,0,0,0,250,0,1,0
