Frame,X,Y,Z,Roll,Pitch,Yaw
262,37.4057,0.0000,0.0000,0.0000,-21.2453,0.0000
263,38.4715,0.0000,0.0000,0.0000,-21.8210,0.0000
264,39.4393,0.0000,0.0000,0.0000,-22.4257,0.0000
265,40.6448,0.0000,0.0000,0.0000,-23.1087,0.0000
266,41.2344,0.0000,0.0000,0.0000,-23.1676,0.0000
267,41.4066,0.0000,0.0000,0.0000,-23.2498,0.0000
268,41.6343,0.0000,0.0000,0.0000,-23.3982,0.0000
269,41.8427,0.0000,0.0000,0.0000,-23.4805,0.0000
270,41.8427,0.0000,0.0000,0.0000,-23.5285,0.0000
271,41.8427,0.0000,0.0000,0.0000,-23.5496,0.0000
272,41.8427,0.0000,0.0000,0.0000,-23.5568,0.0000
273,41.8427,0.0000,0.0000,0.0000,-23.5656,0.0000
274,41.8427,0.0000,0.0000,0.0000,-23.5660,0.0000
275,41.8427,0.0000,0.0000,0.0000,-23.5664,0.0000
276,41.8427,0.0000,0.0000,0.0000,-23.5652,0.0000
277,41.8427,0.0000,0.0000,0.0000,-23.5650,0.0000
278,41.8427,0.0000,0.0000,0.0000,-23.5653,0.0000
279,41.8427,0.0000,0.0000,0.0000,-23.5645,0.0000
280,41.8427,0.0000,0.0000,0.0000,-23.5501,0.0000
281,41.6563,0.0000,0.0000,0.0000,-23.5089,0.0000
282,41.3018,0.0000,0.0000,0.0000,-23.3844,0.0000
283,40.8249,0.0000,0.0000,0.0000,-23.1765,0.0000
284,40.0757,0.0000,0.0000,0.0000,-22.8069,0.0000
285,39.0060,0.0000,0.0000,0.0000,-22.1544,0.0000
286,37.2204,0.0000,0.0000,0.0000,-20.9986,0.0000
287,36.5492,0.0000,0.0000,0.0000,-20.7640,0.0000
288,35.3349,0.0000,0.0000,0.0000,-19.9848,0.0000
289,33.8430,0.0000,0.0000,0.0000,-18.9819,0.0000
290,32.4541,0.0000,0.0000,0.0000,-18.3169,0.0000
291,31.0818,0.0000,0.0000,0.0000,-17.6066,0.0000
