dataset,family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
vertical_line_1,savgol,savgol window=11 poly=3,1177.1421136432239,238.27391822744576,140.07909288824447,1144.2320321248585,2217.5869353670414
vertical_line_1,savgol,savgol window=41 poly=3,1177.3556332678654,237.9468424383144,141.09458808121704,1144.394994997533,2218.0115888201517
vertical_line_1,savgol,savgol window=21 poly=3,1177.357739808788,238.03040554862545,141.23090989321798,1144.36296847318,2218.019531229306
vertical_line_1,moving_average,moving-average window=5,1177.6999075780739,238.1119138716244,140.68837376580763,1144.7648537009375,2218.6146102367047
vertical_line_1,savgol,savgol window=81 poly=2,1178.0040230414081,238.0457561892015,143.9959259795232,1144.6802477387967,2219.295887347543
vertical_line_1,moving_average,moving-average window=11,1178.6695367585226,237.6543199150051,140.85066324808918,1145.83741943212,2220.3802977329533
vertical_line_1,moving_average,moving-average window=21,1180.098619296646,236.75774938212317,140.2213869284368,1147.5698157503218,2222.9641962798064
vertical_line_1,moving_average,moving-average window=41,1183.2178730010157,235.1747330184117,139.3837472923287,1151.2035228097225,2228.60292970651
vertical_line_1,moving_average,moving-average window=81,1190.8833786127266,234.14349582119132,138.87170187116678,1159.3509801781775,2242.3817060650986
vertical_line_1,wiener,wiener window=5,1201.2014719544597,252.657645051022,142.36229622656245,1165.6680776430023,2274.6102747628925
vertical_line_1,wiener,wiener window=81,1250.7005474471607,279.99969026819554,134.34871214901622,1211.5289746342196,2359.5211709114737
vertical_line_1,wiener,wiener window=41,1340.2110272949244,290.60254374571844,131.0975724797223,1301.7408289445937,2573.1105524073955
vertical_line_1,wiener,wiener window=21,1546.727156210379,247.07141544534645,135.3044597585405,1520.8594000097214,3057.857405231792
vertical_line_2,wiener,wiener window=81,362.92659618533537,101.54740087975526,132.39244634532892,322.29812246418527,500.74925861965636
vertical_line_2,wiener,wiener window=11,404.61635327515097,112.56075645867084,139.54242762401864,362.729072912455,572.1435076324607
vertical_line_2,median,median size=5,431.9569775038629,127.36170514650294,110.5020617755272,397.68721480556246,659.2032151299429
vertical_line_2,median,median size=3,457.32941202836133,104.80030993683013,116.78003712785541,429.5689805744448,703.9003706404444
vertical_line_2,kalman_1d,kalman Q=1e-06 R=1e-03,469.27143439620664,113.6539928686955,130.89620050361543,436.078701313184,735.3576554439601
vertical_line_2,kalman_1d,kalman Q=1e-04 R=1e-02,470.43566085183477,111.60537594169963,132.0658711948784,437.50720762925977,732.6986413501429
vertical_line_2,kalman_1d,kalman Q=1e-06 R=1e-04,470.4419343483042,111.55412102556976,132.0592178204693,437.5290329386525,732.7070106135911
vertical_line_2,butterworth,butterworth cutoff=1Hz order=2,470.59377098727305,125.83695722988236,131.23667450246094,434.05125590497016,731.6154904929144
vertical_line_2,butterworth,butterworth cutoff=1Hz order=4,471.4996133798906,123.37043211557668,131.56418664007836,435.64031802708166,733.0355601720183
vertical_line_2,kalman_1d,kalman Q=1e-04 R=1e-03,473.2938962419485,110.76650348173142,132.2938972252856,440.72238277997803,736.1565133385456
vertical_line_2,butterworth,butterworth cutoff=2Hz order=2,474.00125634514205,117.53590819728187,132.80249578124906,439.57479274326516,737.1303640477347
vertical_line_2,moving_average,moving-average window=81,474.27938291788826,109.92739526987977,133.23185578357092,441.70824469848674,737.3580808914694
vertical_line_2,kalman_1d,kalman Q=1e-04 R=1e-04,474.49771951582426,110.90178019285622,132.91942297661268,441.7932864715551,737.8230934229189
