rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imuTemp,output_Hz
01/01/2000,00:32:47.11,-27.83,-30.27,1029.30,1.69,0.34,-0.39,16.20,1.20,46.65,31.38,10.0
01/01/2000,00:32:47.21,-18.07,-40.04,1023.44,1.11,-0.08,0.45,15.15,-0.15,46.05,31.48,10.0
01/01/2000,00:32:47.31,-47.36,-34.67,1015.63,2.26,-2.18,0.52,15.60,0.60,47.55,31.24,9.991
01/01/2000,00:32:47.41,-37.11,-31.74,1026.37,0.13,-0.92,2.86,15.15,0.60,47.25,31.14,9.991
01/01/2000,00:32:47.52,-23.44,-19.04,1041.02,0.50,-1.64,0.24,15.15,0.90,47.55,31.58,9.991
01/01/2000,00:32:47.62,-15.63,-30.27,1022.46,1.13,-1.40,1.01,15.75,0.30,46.65,31.48,9.992
01/01/2000,00:32:47.72,-31.74,-30.27,1040.04,-1.18,-0.84,-0.45,15.60,0.15,47.55,31.05,9.992
01/01/2000,00:32:47.82,-24.41,-28.32,1016.60,0.79,-1.05,-0.19,15.15,-0.60,48.0,31.48,9.992
01/01/2000,00:32:47.92,1.95,-39.06,1012.70,3.39,-0.87,1.18,14.25,-0.30,46.95,31.48,9.992
01/01/2000,00:32:48.02,-21.48,-37.11,1028.32,1.19,-0.21,1.19,15.90,-0.60,48.30,31.38,9.992
01/01/2000,00:32:48.12,-30.27,-41.50,1017.58,-3.05,-0.54,-1.53,15.60,0.90,48.0,31.38,9.992
01/01/2000,00:32:48.22,-16.11,-33.69,1009.77,1.04,-1.41,0.40,15.75,0.0,46.20,31.53,9.992
01/01/2000,00:32:48.32,-15.14,-28.32,1043.46,-0.07,-0.12,0.45,14.85,0.90,48.0,31.34,9.992
01/01/2000,00:32:48.42,-25.39,-39.06,1023.44,0.24,0.31,-2.76,16.35,0.90,48.0,31.53,9.984
01/01/2000,00:32:48.52,-36.13,-33.69,1010.74,1.63,0.43,-1.15,14.40,-0.90,47.25,31.38,9.984
01/01/2000,00:32:48.63,-25.39,-27.83,1019.53,2.15,1.08,1.69,15.60,0.90,46.80,31.05,9.984
01/01/2000,00:32:48.73,-10.25,-30.27,1028.32,1.01,0.83,2.39,14.25,-0.30,46.95,31.48,9.985
01/01/2000,00:32:48.83,-12.21,-33.20,1030.27,2.55,-1.10,0.56,15.75,0.30,45.90,31.24,9.985
01/01/2000,00:32:48.93,-24.41,-36.13,1034.18,3.63,0.0,2.64,15.75,1.20,46.65,31.38,9.985
01/01/2000,00:32:49.03,-13.67,-27.83,1019.04,0.82,-0.66,1.54,15.15,0.15,48.30,31.14,9.985
01/01/2000,00:32:49.13,-27.34,-33.69,1013.18,2.02,0.53,-1.29,14.85,0.90,47.25,31.24,9.985
01/01/2000,00:32:49.23,-12.70,-28.32,1013.18,1.41,-0.86,-2.26,15.60,0.60,46.50,31.38,9.985
01/01/2000,00:32:49.33,-26.86,-36.13,1014.16,2.69,0.49,-0.56,14.25,0.0,47.70,31.48,9.985
01/01/2000,00:32:49.43,-31.74,-31.25,1024.90,0.80,-0.47,-0.92,15.60,0.90,46.50,31.38,9.978
01/01/2000,00:32:49.53,-6.84,-40.04,1003.91,0.42,0.57,-0.53,15.60,0.60,46.05,31.34,9.978
01/01/2000,00:32:49.63,-28.81,-30.27,1029.79,4.34,-0.46,0.11,14.85,-0.90,47.25,31.67,9.978
01/01/2000,00:32:49.74,-22.46,-27.83,1011.23,-1.58,0.55,1.53,15.45,1.95,46.65,31.58,9.978
01/01/2000,00:32:49.84,-14.65,-29.79,1023.93,-0.60,-2.81,0.17,14.10,0.60,46.50,31.38,9.979
01/01/2000,00:32:49.94,-26.86,-36.13,1028.81,-0.11,-0.12,-0.78,15.60,0.60,46.80,31.38,9.979
01/01/2000,00:32:50.04,-16.60,-32.23,1027.34,3.23,0.59,-0.41,14.85,1.35,48.0,31.53,9.979
01/01/2000,00:32:50.14,-11.23,-41.50,1031.25,-0.69,-0.72,0.91,15.75,0.0,47.70,31.24,9.979
01/01/2000,00:32:50.24,-28.81,-34.18,1007.81,-0.16,-0.45,-0.98,15.90,0.60,48.0,31.19,9.979
01/01/2000,00:32:50.34,-20.02,-40.04,1022.95,1.83,0.15,0.71,15.15,1.35,46.80,31.14,9.979
01/01/2000,00:32:50.44,-25.39,-39.06,1021.48,-0.05,-1.85,-2.24,14.25,1.20,48.60,31.24,9.979
01/01/2000,00:32:50.54,-19.04,-27.34,1036.62,0.22,4.40,-1.19,16.50,0.30,47.40,31.19,9.973
01/01/2000,00:32:50.64,-17.09,-33.69,1026.86,-0.96,-0.24,1.86,15.15,0.60,47.55,31.24,9.973
01/01/2000,00:32:50.74,-19.53,-31.74,1027.83,-0.17,0.05,2.11,15.15,0.15,48.30,31.14,9.973
01/01/2000,00:32:50.85,-31.25,-37.11,1020.02,-0.34,-1.79,-0.98,15.45,-0.30,45.90,31.53,9.973
01/01/2000,00:32:50.95,-16.60,-29.79,1035.16,0.16,-1.73,-0.21,15.15,0.90,46.80,31.38,9.974
01/01/2000,00:32:51.05,-18.55,-41.50,1030.76,0.62,-0.18,0.45,15.60,0.90,46.80,31.38,9.974
01/01/2000,00:32:51.15,-23.93,-34.18,1027.34,-0.75,-1.24,-0.95,15.0,0.30,47.70,31.53,9.974
01/01/2000,00:32:51.25,-26.37,-31.74,1036.13,0.11,0.52,-0.62,15.75,-0.30,48.15,31.67,9.974
01/01/2000,00:32:51.35,-20.51,-38.09,1020.51,-0.35,0.36,0.99,15.15,-0.90,46.50,31.58,9.974
01/01/2000,00:32:51.45,-38.09,-41.02,1030.27,0.80,-0.55,0.97,16.80,-0.60,46.80,31.14,9.974
01/01/2000,00:32:51.55,-32.71,-30.27,1024.41,-0.92,1.31,0.92,15.90,-0.90,46.80,31.38,9.975
01/01/2000,00:32:51.65,-27.34,-34.67,1029.30,2.18,-0.56,1.54,15.75,1.20,46.65,31.14,9.968
01/01/2000,00:32:51.75,-15.63,-20.02,1027.34,-0.49,-0.86,0.0,14.40,-0.15,45.75,31.48,9.969
01/01/2000,00:32:51.86,-19.53,-29.30,1018.07,0.23,-1.31,-2.18,15.0,0.30,47.70,30.95,9.969
01/01/2000,00:32:51.96,-21.00,-20.51,1021.00,2.10,0.68,1.18,15.15,0.60,47.25,31.53,9.969
01/01/2000,00:32:52.06,-24.41,-23.44,1027.83,-0.42,2.50,-0.42,16.95,1.20,46.20,31.19,9.969
01/01/2000,00:32:52.16,-19.04,-32.23,1028.32,-0.17,-0.08,-0.45,15.45,-0.30,47.70,31.24,9.969
01/01/2000,00:32:52.26,-34.18,-29.30,1032.23,2.41,0.83,1.54,14.55,0.75,46.95,31.19,9.970
01/01/2000,00:32:52.36,-21.00,-35.16,1026.86,3.11,-0.94,-1.28,17.55,0.15,47.25,31.38,9.970
01/01/2000,00:32:52.46,-13.67,-23.93,1025.39,0.68,0.21,-1.86,14.85,-0.15,46.05,31.38,9.970
01/01/2000,00:32:52.56,-19.53,-31.74,1025.39,1.82,-1.42,-1.63,15.0,0.0,46.95,31.19,9.970
01/01/2000,00:32:52.66,-24.90,-37.60,1022.46,3.84,-1.15,-2.44,16.50,0.30,47.70,31.53,9.970
01/01/2000,00:32:52.76,-27.83,-33.69,1026.86,0.21,-2.14,-2.01,14.85,0.15,48.0,31.48,9.965
01/01/2000,00:32:52.86,-13.67,-24.41,1028.81,-2.17,-0.28,0.15,17.40,-0.30,47.40,31.67,9.965
01/01/2000,00:32:52.97,-21.48,-30.76,1031.74,3.76,0.77,-1.24,15.90,0.15,45.75,31.14,9.965
01/01/2000,00:32:53.07,-21.97,-33.69,1022.95,0.02,-0.35,-0.40,14.25,-0.30,46.65,31.34,9.965
