timestamp,rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,aX,aY,aZ,gX,gY,gZ,dataRdy,output_Hz,
1784211148.9149957,"01/01/2000,02:40:09.68,-862.30,-52.73,-533.20,-1.18,-0.53,-1.61,71.85,50.85,-9.45,28.32,6.83,-18.06,-993.08,157.50,-822.50,-350.0,1,53.191,"
1784211148.94377,"01/01/2000,02:40:09.70,-853.52,-59.08,-525.88,1.25,1.26,-0.09,71.40,52.05,-9.75,28.41,6.83,-18.06,-993.32,420.0,-848.75,-288.75,1,53.263,"
1784211148.9541934,"01/01/2000,02:40:09.72,-844.73,-55.18,-531.74,1.04,1.23,0.59,72.45,51.90,-9.30,28.41,6.95,-18.18,-993.45,288.75,-743.75,-271.25,1,53.253,"
1784211148.9747593,"01/01/2000,02:40:09.74,-866.70,-55.18,-525.39,-0.15,0.40,0.14,72.45,51.90,-9.30,28.22,6.95,-18.18,-993.45,210.0,-778.75,-358.75,1,53.243,"
1784211148.9950805,"01/01/2000,02:40:09.75,-860.35,-52.73,-518.07,3.27,0.11,-0.58,73.20,51.90,-10.05,28.51,7.08,-18.18,-993.57,236.25,-848.75,-341.25,1,53.233,"
1784211149.0051768,"01/01/2000,02:40:09.77,-853.52,-60.06,-518.07,1.24,0.09,1.21,73.35,49.95,-10.20,28.32,6.95,-18.06,-993.32,131.25,-901.25,-323.75,1,53.223,"
1784211149.0259464,"01/01/2000,02:40:09.79,-852.05,-57.62,-518.07,-1.31,-1.20,0.94,72.45,52.65,-9.30,28.37,6.95,-18.06,-993.32,157.50,-901.25,-288.75,1,53.214,"
1784211149.0572088,"01/01/2000,02:40:09.82,-849.61,-53.22,-518.07,0.22,-1.25,-1.37,70.95,50.55,-10.35,28.41,6.95,-18.06,-993.08,236.25,-962.50,-253.75,1,53.204,"
1784211149.0879374,"01/01/2000,02:40:09.84,-850.10,-50.29,-525.88,-1.12,-0.58,-0.92,72.60,51.30,-9.0,28.41,7.08,-17.93,-993.32,253.75,-910.0,-280.0,1,53.195,"
1784211149.0982273,"01/01/2000,02:40:09.86,-844.73,-48.83,-528.32,-0.11,-0.50,0.89,71.25,51.90,-10.80,28.03,6.95,-17.93,-993.32,367.50,-857.50,-227.50,1,53.185,"
1784211149.1189857,"01/01/2000,02:40:09.88,-848.63,-47.36,-532.23,2.66,2.58,1.02,72.30,51.60,-9.75,28.17,6.83,-18.06,-993.20,306.25,-918.75,-358.75,1,53.176,"
1784211149.1293828,"01/01/2000,02:40:09.89,-853.03,-48.34,-521.48,-0.12,-0.51,-0.23,72.30,51.60,-9.75,28.41,6.71,-18.06,-993.20,271.25,-840.0,-315.0,1,53.166,"
1784211149.150053,"01/01/2000,02:40:09.91,-850.10,-57.62,-520.02,-1.43,-0.28,-1.05,71.85,51.30,-9.75,28.32,6.83,-18.18,-993.20,306.25,-761.25,-271.25,1,53.157,"
1784211149.19129,"01/01/2000,02:40:09.95,-861.33,-56.64,-522.46,-2.84,-1.76,-2.29,72.0,51.45,-11.10,28.32,6.95,-18.06,-993.32,271.25,-883.75,-341.25,1,53.139,"
1784211149.2119713,"01/01/2000,02:40:09.97,-865.23,-62.50,-509.28,-2.02,1.56,-1.82,70.65,51.60,-9.75,28.60,6.83,-18.06,-993.20,236.25,-805.0,-332.50,1,53.207,"
